,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
5,2012-11-26,AMD,1.9600000381469727,1.9700000286102295,1.840000033378601,1.8700000047683716,30192600.0,0.0,-0.21536444559722323,2.1880424735524038,1.8029574754260205,31.338860208579405,-76.90101848595613,28.86132593761233,2.17233331600825,2.8431666672229765
5,2012-11-26,AMZN,240.38999938964844,244.32000732421875,238.0,243.6199951171875,4178300.0,0.0,-1.1386614383722247,243.78485477663486,218.5241463830331,53.188506112580725,88.4431730544629,13.37906345263565,234.22366739908855,244.33183415730795
5,2012-11-26,BIDU,96.76000213623047,96.76000213623047,94.3499984741211,95.44999694824219,3834900.0,0.0,-4.574538889056413,114.94213224658719,87.32886766186007,38.57632882493484,-98.66627226068057,45.88028349633594,105.10999984741211,108.58049952189127
5,2012-11-26,GOOG,331.9756774902344,332.254638671875,328.279541015625,329.3405456542969,4425727.0,0.0,-5.809497165357527,345.30500208835343,320.24783909817,44.26830613733078,-64.51586728090027,29.50659623713588,340.5810852050781,350.99637807210286
5,2012-11-26,INTC,19.690000534057617,19.920000076293945,19.6200008392334,15.336149215698242,67047900.0,0.0,-0.46596889293650356,17.309938880214364,14.6532711303142,36.795511169471446,-116.75601242254139,35.133974175152325,16.161539872487385,16.955837519963584
5,2012-11-26,MSFT,27.540000915527344,27.579999923706055,27.170000076293945,22.796661376953125,85198700.0,0.0,-0.4443012463490419,24.940397495980378,21.508322673087008,42.4086820882174,-67.10760121613168,15.561175707930364,23.43069184621175,24.2849152247111
5,2012-11-26,NVDA,2.9800000190734863,3.0350000858306885,2.9749999046325684,2.7990360260009766,36460000.0,0.0,-0.05791660623153039,3.0027854432712475,2.562737060581597,46.24192670617306,-34.308693166438815,12.649526951342486,2.818337257703145,2.954768951733907
5,2012-11-26,QCOM,62.75,63.040000915527344,62.040000915527344,47.8153190612793,11120000.0,0.0,0.45663622142141236,48.98458905871311,44.05976938550076,54.203344187816356,110.18338859717271,14.68569988832674,46.11562042236328,46.969424438476565
6,2012-11-27,AAPL,21.055356979370117,21.086429595947266,20.717857360839844,18.065086364746094,533330000.0,1.0,-0.3666814688097446,18.862137634398522,15.974591415284095,46.88409199044423,-1.0052182619037815,8.360165671281068,18.044575754801432,19.341250133514404
6,2012-11-27,AMD,1.8700000047683716,1.8899999856948853,1.850000023841858,1.8799999952316284,22732800.0,1.0,-0.2051728779860731,2.173267114959711,1.7937328449859675,31.624450382638656,-87.2948442923341,28.86132593761233,2.128333314259847,2.8116666674613953
6,2012-11-27,AMZN,243.22000122070312,245.6699981689453,241.5399932861328,243.39999389648438,3048500.0,1.0,-0.2807659545456431,245.3087894900751,219.04821124234675,53.063493434821126,108.21712817610073,16.152711472799627,234.1963338216146,244.26983413696288
6,2012-11-27,BIDU,95.31999969482422,95.58000183105469,94.44999694824219,94.5199966430664,3360400.0,1.0,-4.447690766196729,112.84732687721613,87.47467248191474,37.91096453642684,-97.43692745521629,45.88028349633596,104.62599970499674,108.27083282470703
6,2012-11-27,GOOG,328.8523864746094,336.23968505859375,327.77142333984375,334.1026916503906,5036206.0,1.0,-5.163756431133379,344.94092536929315,320.260731735199,46.85518315413409,-46.41792003645088,19.907928442764174,339.2399454752604,350.8527496337891
6,2012-11-27,INTC,19.950000762939453,20.190000534057617,19.920000076293945,15.366999626159668,44893200.0,1.0,-0.4452850615416519,17.249056332035256,14.595507342891501,37.12886346052135,-88.91794137911624,23.962044421081732,16.122245279947915,16.89815835952759
6,2012-11-27,MSFT,27.360000610351562,27.3799991607666,27.040000915527344,22.538644790649414,45018600.0,1.0,-0.4335283402961707,24.941841778141345,21.45920650066725,40.91886647460808,-76.64815856027268,18.08400029709853,23.385357729593913,24.23885857264201
6,2012-11-27,NVDA,3.015000104904175,3.0850000381469727,2.990000009536743,2.810591697692871,45140400.0,1.0,-0.04845164697626725,3.0037233619486834,2.563141438504503,46.66916731809969,-14.432407894056862,4.569587745110788,2.8144978364308675,2.946801722049713
6,2012-11-27,QCOM,62.61000061035156,62.720001220703125,61.93000030517578,47.63932800292969,9150100.0,1.0,0.45172791408769086,48.89388065595349,44.52005367021838,53.54955076365639,91.84249735074332,13.094576428370605,46.193412653605144,46.974593798319496
7,2012-11-28,AAPL,20.616785049438477,20.921428680419922,20.437856674194336,18.008243560791016,520864400.0,2.0,-0.30050337161228313,18.758729611236795,16.021424044769063,46.56766015951554,-8.643494118105854,13.713660852997958,17.99936319986979,19.301135953267416
7,2012-11-28,AMD,1.8799999952316284,1.9900000095367432,1.8600000143051147,1.9600000381469727,27471900.0,2.0,-0.18846810930618618,2.1635404150464996,1.7924595553895966,33.89980394925897,-68.05102683359874,13.998158318161888,2.1023333152135213,2.7826666673024496
